,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
49,2018-06-30,Uruguay,Portugal,2,1,FIFA World Cup,Sochi,Russia,True
50,2018-07-01,Spain,Russia,1,1,FIFA World Cup,Moscow,Russia,True
51,2018-07-01,Croatia,Denmark,1,1,FIFA World Cup,Nizhny Novgorod,Russia,True
52,2018-07-02,Brazil,Mexico,2,0,FIFA World Cup,Samara,Russia,True
53,2018-07-02,Belgium,Japan,3,2,FIFA World Cup,Rostov-On-Don,Russia,True
54,2018-07-03,Sweden,Switzerland,1,0,FIFA World Cup,St. Petersburg,Russia,True
55,2018-07-03,Colombia,England,1,1,FIFA World Cup,Moscow,Russia,True
56,2018-07-06,Uruguay,France,0,2,FIFA World Cup,Nizhny Novgorod,Russia,True
57,2018-07-06,Brazil,Belgium,1,2,FIFA World Cup,Kazan,Russia,True
58,2018-07-07,Sweden,England,0,2,FIFA World Cup,Samara,Russia,True
59,2018-07-07,Russia,Croatia,2,2,FIFA World Cup,Sochi,Russia,False
60,2018-07-10,France,Belgium,1,0,FIFA World Cup,St. Petersburg,Russia,True
61,2018-07-11,Croatia,England,2,1,FIFA World Cup,Moscow,Russia,True
62,2018-07-14,Belgium,England,2,0,FIFA World Cup,St. Petersburg,Russia,True
63,2018-07-15,France,Croatia,4,2,FIFA World Cup,Moscow,Russia,True
